file,width,height,pixels,gamma_max,denoise_h,processing_scale,runtime_s,original_brightness,original_contrast,original_entropy,original_sharpness,enhanced_brightness,delta_brightness,enhanced_contrast,delta_contrast,enhanced_entropy,delta_entropy,enhanced_sharpness,delta_sharpness
45.png,600,400,240000,6.0,13,1.0,0.6533033847808838,5.0384375,5.286363122090059,3.7755136489868164,22.22368812561035,83.11157083333333,78.07313333333333,46.30195403849046,41.0155909164004,7.131223678588867,3.355710029602051,11283.3486328125,11261.12494468689
46.png,600,400,240000,6.0,13,1.0,0.617668628692627,5.872341666666666,5.347213762007016,3.9279561042785645,25.504568099975586,81.56981666666667,75.697475,43.67266136421109,38.32544760220407,7.183295249938965,3.2553391456604004,9560.619140625,9535.114572525024
47.png,600,400,240000,5.801636066908638,14,1.0,0.6323666572570801,13.859375,11.429185211963931,5.130178928375244,104.5666275024414,91.49732916666666,77.63795416666666,51.61463609804215,40.185450886078215,7.554879188537598,2.4247002601623535,4507.3720703125,4402.805442810059
48.png,600,400,240000,5.789218910038471,14,1.0,0.6098334789276123,14.4805375,11.353010080051916,5.145491600036621,104.98638916015625,92.572975,78.0924375,50.65904336492523,39.306033284873315,7.562470436096191,2.4169788360595703,4301.4697265625,4196.483337402344
487.png,600,400,240000,5.890335013158619,12,1.0,0.6101279258728027,7.1217,5.973440307728872,4.15032434463501,18.45708656311035,78.120075,70.998375,41.27693785470334,35.30349754697447,6.827902793884277,2.6775784492492676,2617.995849609375,2599.5387630462646
5.png,600,400,240000,5.8649989391366635,16,1.0,0.6191267967224121,19.889579166666667,11.110112273940619,5.337275981903076,134.46365356445312,106.53020833333333,86.64062916666667,47.933506591144194,36.82339431720358,7.517148971557617,2.179872989654541,5393.37255859375,5258.908905029297
50.png,600,400,240000,5.87057220377028,14,1.0,0.6228506565093994,11.881958333333333,10.421882803262113,4.997721195220947,53.574275970458984,86.689525,74.80756666666667,55.327153417416795,44.90527061415468,7.557457447052002,2.5597362518310547,4389.4638671875,4335.889591217041
51.png,600,400,240000,5.615573203812042,14,1.0,0.5983114242553711,18.313966666666666,15.00600629522133,5.559908866882324,90.03340911865234,93.64383333333333,75.32986666666667,57.10183311685848,42.09582682163715,7.598154067993164,2.03824520111084,3689.920166015625,3599.8867568969727
52.png,600,400,240000,5.619385649760565,14,1.0,0.5859265327453613,18.212158333333335,14.94295922862215,5.554241180419922,90.2372055053711,93.259575,75.04741666666666,56.91625913702259,41.97329990840044,7.589573860168457,2.035332679748535,3725.112548828125,3634.875343322754
53.png,600,400,240000,5.398398735870917,14,1.0,0.6165363788604736,25.656283333333334,17.09755222791815,5.817935466766357,53.628448486328125,144.28242083333333,118.6261375,65.31067192763803,48.213119699719876,7.53718376159668,1.7192482948303223,3720.4287109375,3666.800262451172
54.png,600,400,240000,5.391125209629536,14,1.0,0.6439039707183838,25.81372916666667,17.253602493681793,5.835668087005615,54.49020767211914,146.55842916666666,120.7447,65.63105199547302,48.37744950179122,7.5709614753723145,1.7352933883666992,3642.388916015625,3587.898708343506
56.png,600,400,240000,5.873638947804769,13,1.0,0.6270501613616943,9.831229166666667,8.16703458458552,4.625819206237793,26.05206298828125,119.13121666666666,109.29998749999999,63.33777308094322,55.1707384963577,7.253981590270996,2.628162384033203,9442.4287109375,9416.376647949219
57.png,600,400,240000,5.8180084725220995,15,1.0,0.6244206428527832,18.667366666666666,10.177194524960642,5.28459358215332,65.43755340576172,140.17187916666666,121.50451249999999,50.98399572465918,40.80680119969854,7.41630744934082,2.1317138671875,5580.85009765625,5515.412544250488
58.png,600,400,240000,5.830332297831773,15,1.0,0.6161460876464844,17.966529166666668,10.334800862618623,5.282945156097412,65.08811950683594,139.28930833333334,121.32277916666666,50.531262195017426,40.196461332398805,7.400116920471191,2.1171717643737793,5684.1767578125,5619.088638305664
59.png,600,400,240000,5.678575201580922,15,1.0,0.5995280742645264,23.778895833333333,11.133562268241732,5.265444278717041,156.69956970214844,127.04820833333333,103.2693125,59.117022866711274,47.98346059846954,7.4437408447265625,2.1782965660095215,6677.7705078125,6521.070938110352
6.png,600,400,240000,5.859411181261142,16,1.0,0.6790323257446289,20.058779166666667,11.18310142623977,5.34675931930542,139.65411376953125,106.5587875,86.50000833333333,47.7695969632343,36.58649553699453,7.513280391693115,2.1665210723876953,5495.533203125,5355.879089355469
60.png,600,400,240000,5.582439420123895,14,1.0,0.6050593852996826,23.802620833333332,11.078022716076156,5.261861324310303,137.65838623046875,127.5279125,103.72529166666666,59.21795585709071,48.13993314101455,7.448009490966797,2.186148166656494,5830.33349609375,5692.675109863281
61.png,600,400,240000,6.0,14,1.0,0.58414626121521,6.170333333333334,3.6227284683723613,3.746218681335449,39.533512115478516,87.53503333333333,81.3647,50.982762096603686,47.36003362823133,7.309298992156982,3.563080310821533,10928.6962890625,10889.162776947021
62.png,600,400,240000,6.0,14,1.0,0.6259543895721436,6.103654166666667,3.5929191910941496,3.7357988357543945,39.01801300048828,87.73717916666666,81.63352499999999,50.77279705750806,47.17987786641391,7.3027143478393555,3.566915512084961,11299.0703125,11260.052299499512
63.png,600,400,240000,5.889231199398637,14,1.0,0.6787137985229492,12.767633333333333,8.767802217900574,4.892978191375732,46.56385803222656,106.3996125,93.63197916666667,49.08271052366448,40.31490830576391,7.558952808380127,2.6659746170043945,4187.98095703125,4141.417098999023
64.png,600,400,240000,5.884706923738122,14,1.0,0.6335608959197998,12.91145,8.820263633484355,4.905844688415527,44.16889953613281,105.9617125,93.0502625,48.45666479684719,39.636401163362834,7.543827056884766,2.6379823684692383,3996.642578125,3952.473678588867
67.png,600,400,240000,5.684139103318254,13,1.0,0.6343507766723633,15.50165,10.707870420590954,5.123138427734375,44.8139762878418,121.8398,106.33815,60.14214504787803,49.43427462728708,7.466466903686523,2.3433284759521484,3871.4541015625,3826.640125274658
68.png,600,400,240000,5.6861035109808045,13,1.0,0.6298954486846924,15.391433333333334,10.731538253153127,5.131647109985352,47.03910446166992,124.74770833333334,109.356275,59.3073157284574,48.57577747530427,7.507397651672363,2.3757505416870117,4077.142578125,4030.10347366333
69.png,600,400,240000,5.615327883511781,13,1.0,0.6161775588989258,17.753175,11.44339412438642,5.230095863342285,33.52404022216797,137.588875,119.8357,67.2669393875454,55.823545263158984,7.512300968170166,2.282205104827881,3946.24755859375,3912.723518371582
9.png,600,400,240000,5.880047459155321,14,1.0,0.5926942825317383,14.551733333333333,7.42357160192376,4.804313659667969,33.06266403198242,129.88199583333332,115.33026249999999,44.05811460465199,36.63454300272823,7.115959644317627,2.311645984649658,4303.0439453125,4269.981281280518
